機構名稱,機構代碼,地址,行政區,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般科,牙科,中醫一般科,中醫,中醫內科,中醫外科,中醫婦科,中醫兒科,傷科,中醫眼科,針灸科,痔科
久田診所,3507360477,高雄市前鎮區瑞和街196-8號1樓,前鎮區,7212264,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
二聖診所,3507360495,高雄市前鎮區二聖一路71號1樓、2樓,前鎮區,7117366,無,無,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
潤生診所,3507360502,高雄市前鎮區武慶一路2號1-3樓,前鎮區,7166685,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
喜洋洋心靈診所,3507360520,高雄市前鎮區一心一路156號1-2樓,前鎮區,07-7272888,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
萊波亞美醫診所,3507360539,高雄市前鎮區中山二路260號21樓之1,前鎮區,5361966,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
保泰長慶小兒科診所,3507360548,高雄市前鎮區保泰路425號1樓,前鎮區,7210089,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
鄰好西醫診所,3507360557,高雄市前鎮區民權二路180號2樓,前鎮區,07-3350802,有,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
寶鈴診所,3507360566,高雄市前鎮區一心一路17、25、33號1樓,前鎮區,5362229,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
宇平診所,3507360575,高雄市前鎮區中山二路46號1-3樓,前鎮區,3342608,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
盛美診所,3507360584,高雄市前鎮區永豐路260號1-5樓,前鎮區,7165260,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
松城牙醫診所,3702090018,高雄市前鎮區中平路230號,前鎮區,07 8417335,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
永芳牙醫診所,3702090027,高雄市前鎮區復興三路４０７號,前鎮區,07 3332389,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
南安牙醫診所,3702090090,高雄市前鎮區復興三路４４１號,前鎮區,07 3344005,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
宏光牙醫診所,3702090116,高雄市前鎮區修文街２３８號,前鎮區,07 3320478,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
黃建興牙醫診所,3702090134,高雄市前鎮區管仲路３９號,前鎮區,07 3325502,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
聯和牙科診所,3702090152,高雄市前鎮區瑞和街１44號,前鎮區,07 7112455,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
一心牙醫診所,3702090170,高雄市前鎮區林森三路９９號,前鎮區,07 3338918,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
芳鄰牙醫診所,3702090232,高雄市前鎮區保泰路１６５號,前鎮區,07 7154690,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
李怡德牙醫診所,3702090269,高雄市前鎮區林森三路１９２巷２號,前鎮區,07 3392004,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
貞豪牙醫診所,3702090358,高雄市前鎮區公正路５３號,前鎮區,07 7223030,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
蔡木林牙醫診所,3702090376,高雄市前鎮區光華二路４５１號,前鎮區,07 3340193,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
新雅牙醫診所,3702090385,高雄市前鎮區新衙路３２號,前鎮區,07 8125415,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
高鼎牙醫診所,3702090394,高雄市前鎮區瑞隆路３４１號,前鎮區,07 7519707,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
上美牙醫診所,3702090401,高雄市前鎮區草衙一路６８號,前鎮區,07 8413399,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林順利牙醫診所,3702090410,高雄市前鎮區崗山西街２－１號,前鎮區,07 7618702,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
長宏牙醫診所,3702090447,高雄市前鎮區后安路１38號,前鎮區,07 8120042,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
勝暉牙醫診所,3702090465,高雄市前鎮區瑞隆路五六九號,前鎮區,77510449,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
惠群牙醫診所,3702090483,高雄市前鎮區復興三路113號-115號,前鎮區,07-3350042,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
高祥牙醫診所,3702090527,高雄市前鎮區復興三路299號,前鎮區,07 3322876,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
明潔牙醫診所,3702090536,高雄市前鎮區鎮榮街１４號,前鎮區,07 8214564,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
善美牙醫診所,3702090545,高雄市前鎮區正勤路98號,前鎮區,07 3385918,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
超美牙醫診所,3702090554,高雄市前鎮區瑞隆路３71號,前鎮區,07 7258797,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
高健牙醫診所,3702090581,高雄市前鎮區一心二路１３２號之１,前鎮區,07 3390900,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
高峰國際牙醫診所,3702090670,高雄市前鎮區一心一路５００號,前鎮區,07 3300706,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
宜群牙醫診所,3702090689,高雄市前鎮區光華二路２６７號,前鎮區,07 3341545,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
自釗牙醫診所,3702090705,高雄市前鎮區一心二路６９號,前鎮區,07 3327500,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吳昆哲婦產小兒科醫院,1502090209,高雄市前鎮區民權二路４３０號,前鎮區,07 3319611,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
佳欣婦幼醫院,1502091297,高雄市前鎮區三多三路一四九號,前鎮區,07-3312233,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
瑞祥醫院,1507360019,高雄市前鎮區班超路92號1-7樓,前鎮區,7717503,有,有,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
新正薪醫院,1507360028,高雄市前鎮區一心一路233號1-4樓,前鎮區,9705335,無,有,有,無,有,有,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
高雄市前鎮區衛生所,2302090019,高雄市前鎮區康定路１４９號,前鎮區,02 8414687,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
國軍高雄門診中心附設民眾診療服務處,2502090013,高雄市前鎮區光華二路５１號,前鎮區,07 3344003,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
國防部軍備局生產製造中心第二０五廠醫務所,2502090022,高雄市前鎮區中山三路９８號,前鎮區,07 3321695,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
經濟部加工出口區管理處高雄分處衛生保健所,2702090017,高雄市前鎮區高雄加工出口區中一路３號,前鎮區,07-8315473,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
謝麗煌小兒科內科診所,3502090041,高雄市前鎮區隆興街１５１號,前鎮區,07 7716485,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
前鎮協和婦產科診所,3502090112,高雄市前鎮區崗山南街４７０號,前鎮區,7224209,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
陳振福內兒科診所,3502090158,高雄市前鎮區瑞和街２３８號,前鎮區,07 7718636,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
施外科診所,3502090167,高雄市前鎮區瑞隆路３６３號,前鎮區,07 7114423,無,無,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
慶原婦產科診所,3502090238,高雄市前鎮區瑞和街81號1樓,前鎮區,07 7238867,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
聖青診所,3502090309,高雄市前鎮區草衙一路１１２號,前鎮區,07 8310970,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
蔡皮膚科診所,3502090425,高雄市前鎮區復興三路４１５號,前鎮區,07 3341158,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
林正宗診所,3502090514,高雄市前鎮區一心一路４０４號,前鎮區,07 3303615,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
親親診所,3502090569,高雄市前鎮區一心一路402號1樓   ,前鎮區,07 3391078,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
慧明眼科診所,3502090676,高雄市前鎮區永豐路１５８號,前鎮區,07 7518587,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
博聖診所,3502090685,高雄市前鎮區擴建一路５９號,前鎮區,07 8218252,有,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吳泰成耳鼻喉科診所,3502090694,高雄市前鎮區林森三路１５０號,前鎮區,07 3361136,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
張朝金家庭醫學科外科診所,3502090836,高雄市前鎮區瑞隆路６３１號,前鎮區,07 7119401,有,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
明得診所,3502090854,高雄市前鎮區永豐路１４５號,前鎮區,07 7515595,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
東輝眼科診所,3502090872,高雄市前鎮區瑞隆路３６７號,前鎮區,07 7256432,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
劉志明耳鼻喉科診所,3502091039,高雄市前鎮區一心一路482號,前鎮區,07 3363311,無,無,無,無,有,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
維明眼科診所,3502091173,高雄市前鎮區一心一路400號1樓、2樓,前鎮區,07 3363846,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吳信宏耳鼻喉科小兒科診所,3502091208,高雄市前鎮區三多二路４０１號,前鎮區,07 3334258,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
龔國祥內科診所,3502091235,高雄市前鎮區復興三路301號,前鎮區,07 5351123,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
仁祥復健科診所,3502091315,高雄市前鎮區一心一路４９６號,前鎮區,07 3387737,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
溫眼科診所,3502097031,高雄市前鎮區一心二路57號,前鎮區,07-5368991,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
瑞豐復健科診所,3502097040,高雄市前鎮區永豐路128號,前鎮區,07 7515080,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
葉添浩整形外科診所,3502097111,高雄市前鎮區林森三路188號,前鎮區,07-5353878,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
新生診所,3502097166,高雄市前鎮區中山二路238號,前鎮區,3340129,有,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
永興診所,3502097175,高雄市前鎮區鎮興路222號一樓二樓,前鎮區,8157006,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
黃裕峰耳鼻喉科診所,3502097291,高雄市前鎮區保泰路427號一樓,前鎮區,7268385,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
姚清華皮膚科診所,3502097371,高雄市前鎮區三多二路429號1樓,前鎮區,07-5377624,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
前聖骨科診所,3502097531,高雄市前鎮區草衙一路46號 .46-1號,前鎮區,07-8125609,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
郭俊榮骨科專科診所,3502097586,高雄市前鎮區保泰路540號,前鎮區,07-7139599,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
博佑診所,3502097666,高雄市前鎮區一心一路243號1樓地下1樓,前鎮區,07-3324782,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吳玉珍婦產科診所,3502097684,高雄市前鎮區光華二路50號,前鎮區,07-7220123,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
永祥診所,3502097755,高雄市前鎮區永豐路110號1，2樓,前鎮區,07-7515678,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
四季眼科診所,3502097791,高雄市前鎮區三多三路95號97號1樓，3樓,前鎮區,07-5365789,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美忠復健科診所,3502097826,高雄市前鎮區翠亨北路547號,前鎮區,07-8225558,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
昭哲診所,3502097835,高雄市前鎮區永豐路214號1樓,前鎮區,07-7136366,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
邱仲禮診所,3502090096,高雄市前鎮區鎮榮街４５號,前鎮區,07 8211363,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
瑞隆診所,3502090470,高雄市前鎮區瑞隆路３７３號,前鎮區,07 7512055,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
源生診所,3502090489,高雄市前鎮區瑞隆路５５５號,前鎮區,07 7713285,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
蔡茂隆診所,3502090541,高雄市前鎮區光華二路４３７號,前鎮區,07 3303736,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
陳文宏診所,3502090621,高雄市前鎮區瑞隆路319號,前鎮區,07-7131516,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
瑞安診所,3502090884,高雄市前鎮區公正路268號,前鎮區,07 7616420,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
樹德診所,3502091119,高雄市前鎮區樹人路２８１號,前鎮區,07 8151892,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美德聯合診所,3502091146,高雄市前鎮區草衙二路３８５號,前鎮區,07 8156375,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
楊榮超診所,3502091271,高雄市前鎮區一心二路１３３號,前鎮區,07 3382616,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
林慶端診所,3502091324,高雄市前鎮區和平二路２９３號,前鎮區,07 7616392,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
陳方明診所,3502097237,高雄市前鎮區一心二路59號一樓,前鎮區,5374381,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
永豐診所,3502097362,高雄市前鎮區永豐路110號1.2樓,前鎮區,7515678,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
宋銘宏診所,3502097415,高雄市前鎮區一心二路49號,前鎮區,5378812,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
陳塗墻診所,3502097675,高雄市前鎮區光華二路68號,前鎮區,07-7167825,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
上晴診所,3502097997,高雄市前鎮區瑞北路88號1樓,前鎮區,07-7249449,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吉泰內科診所,3502098010,高雄市前鎮區保泰路419號1-3樓,前鎮區,07-7616000,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
張世明皮膚科診所,3502098038,高雄市前鎮區一心二路159號2F,前鎮區,07-3388039,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
童逸楨眼科診所,3502098047,高雄市前鎮區永豐路66號1-4樓,前鎮區,07-7211600,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
達仁診所,3502098074,高雄市前鎮區崗山南街468號1樓,前鎮區,7250328,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
慶大診所,3502098092,高雄市前鎮區中華五路993號2樓,前鎮區,"9,295,777,155,366,220",無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美和診所,3502098109,高雄市前鎮區翠亨北路577號1樓,前鎮區,07-8120053,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
愛仁醫療社團法人愛仁醫院,907320012,高雄市三民區民族一路45號1樓至4樓及49、51號1樓至4樓,三民區,07-3115159,無,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
義大醫療財團法人義大大昌醫院,1107320017,高雄市三民區大昌一路305號地下3樓至7樓、307號1樓、309號地下1樓至6樓、311號地下1樓至1樓,三民區,5599123#1715,有,有,有,有,有,有,有,有,有,無,有,有,有,有,有,有,有,無,無,無,無,無,無,無,無,無,無,無,有,無,有,無,無,無,無,無,無,無,無
財團法人私立高雄醫學大學附設中和紀念醫院,1302050014,高雄市三民區十全一路100號及新興區中山一路36號,三民區,07 3121101,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,無,有,無,有,無,無,無,無,無,無,無,無
德謙醫院,1502050045,高雄市三民區九如二路１８號地下1樓至6樓,三民區,07 3210981,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
南山醫院,1502050152,高雄市三民區建國三路１５１.１５３號1~3樓,三民區,07 2882101,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
祐生醫院,1502050170,高雄市三民區建國三路６０號,三民區,07-2866688,有,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
民族醫院,1502050241,高雄市三民區民族一路880號(地下一樓.地上一至五樓部分樓層),三民區,07 3462802,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
文雄醫院,1502050296,高雄市三民區察哈爾二街１３２號地下１層地上１至4層,三民區,07 3165275,無,有,有,無,無,無,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
謝外科醫院,1502051337,高雄市三民區河北一路３３０號,三民區,07-2360121,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
四季台安醫院,1502051426,高雄市三民區聯興路157號(地下1樓至6樓)、高雄市三民區聯興路145巷1號1-3樓,三民區,07-3983000，2011345,無,無,有,無,無,有,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
